field_name,alias,description,changed_2019_12_17
seriousInjuryCount,Serious Injury Count,A count of the number of serious injuries (inj) associated with this crash.,False
slipOrFlood,Slip or Flood,"Derived variable to indicate how many times landslips, washouts or floods (excluding rivers) were objects struck in the crash",False
speedLimit,Speed Limit,"The speed (spd) limit (lim) in force at the crash site at the time of the crash. May be a number, or 'LSZ' for a limited speed zone.",False
strayAnimal,Stray Animal,"Derived variable to indicate how many times a stray animal(s) was struck in the crash. This variable includes wild animals such as pigs, goats, deer, straying farm animals, house pets and birds.",False
streetLight,Street Light,"The street lighting at the time of the crash. Possible values 'On', 'Off', 'None' or ' Unknown'.",False
suv,SUV,Derived variable to indicate how many SUVs were involved in the crash.,False
taxi,Taxi,Derived variable to indicate how many taxis were involved in the crash.,False
tlaId,TLA ID,The unique identifier for a territorial local authority (TLA). Each crash is assigned a TLA based on where the crash occurred.,False
tlaName,TLA Name,The name of the territorial local authority (TLA) the crash has been attributed.,False
temporarySpeedLimit,Temporary Speed Limit,The temporary (temp) speed (spd) limit (lim) at the crash site if one exists (e.g. for road works).,False
trafficControl,Traffic Control,"The traffic control (ctrl) signals at the crash site. Possible values are 'Traffic Signals', 'Stop Sign', 'Give Way Sign', 'Pointsman', 'School Patrol', 'Nil' or ' N/A'.",False
trafficIsland,Traffic Island,"Derived variable to indicate how many times a traffic island, medians (excluding barriers)was struck in the crash.",False
trafficSign,Traffic Sign,"Derived variable to indicate how many times 'traffic signage' (including traffic signals, their poles, bollards or roadside delineators) was struck in the crash.",False
train,Train,"Derived variable to indicate how many times a train, rolling stock or jiggers was struck in the crash, whether stationary or moving",False
tree,Tree,Derived variable to indicate how many times trees or other growing items were struck during the crash.,False
truck,Truck,Derived variable to indicate how many trucks were involved in the crash.,False
unknownVehicleType,Unknown Vehicle Type,Derived variable to indicate how many vehicles were involved in the crash (where the vehicle type is unknown).,False
urban,Urban,"A derived variable using the 'spd_lim' variable. Possible values are 'Urban' (urban, spd_lim < 80) or 'Open Road' (open road, spd_lim >=80 or 'LSZ').",False
vanOrUtility,Van or Utility,Derived variable to indicate how many vans or utes were involved in the crash.,False
vehicle,Vehicle,"Derived variable to indicate how many times a stationary attended vehicle was struck in the crash. This includes broken down vehicles, workmen's vehicles, taxis, buses.",False
waterRiver,Water River,"Derived variable to indicate how many times a body of water (including rivers, streams, lakes, the sea, tidal flates, canals, watercourses or swanps) was struck in the crash.",False
weatherA,Weather A,"Indicates weather at the crash time/place. See wthr_b. Values that are possible are 'Fine', 'Mist', 'Light Rain', 'Heavy Rain', 'Snow', 'Unknown'.",False
weatherB,Weather B,"The weather at the crash time/place. See weather_a. Values 'Frost', 'Strong Wind' or 'Unknown'.",False
