field_position,field_name,alias,arcgis_type,nullable,documented_on_hub_page,official_description,changed_2019_12_17,availability_time,decision,model_handling,risk_type,rationale,audit_status
23,guardRail,Guard Rail,esriFieldTypeInteger,True,True,"Derived variable to indicate how many times a guard or guard rail was struck in the crash. This includes 'New Jersey' barriers, 'ARMCO', sand filled barriers, wire catch fences, etc.",False,known_or_derived_after_impact,EXCLUDE_POST_COLLISION,drop,event_consequence_or_participant_information,Official documentation defines this as an involved/struck-object count or other event-derived variable.,CAS_FEASIBILITY_V1
24,holiday,Holiday,esriFieldTypeString,True,True,"Indicates where a crash occurred during a 'Christmas/New Year', 'Easter', 'Queens Birthday' or 'Labour Weekend' holiday period, otherwise 'None'.",False,known_at_collision,EXCLUDE_TEMPORAL_DERIVED,drop,calendar_derivation_without_raw_date,Calendar-derived holiday status is not needed for the minimum matched framework and the public layer lacks raw crash date/time.,CAS_FEASIBILITY_V1
25,houseOrBuilding,House Or Building,esriFieldTypeInteger,True,True,"Derived variable to indicate how many times a houses, garages, sheds or other buildings(Bldg) were struck in the crash",False,known_or_derived_after_impact,EXCLUDE_POST_COLLISION,drop,event_consequence_or_participant_information,Official documentation defines this as an involved/struck-object count or other event-derived variable.,CAS_FEASIBILITY_V1
26,intersection,Intersection,esriFieldTypeInteger,True,False,,False,not_verified_in_current_documentation,EXCLUDE_UNDOCUMENTED,drop unless NZTA supplies a current definition,semantic_uncertainty,The live schema contains this field but the official description page does not define it.,CAS_FEASIBILITY_V1
27,kerb,Kerb,esriFieldTypeInteger,True,True,"Derived variable to indicate how many times a kerb was struck in the crash, that contributed directly to the crash.",False,known_or_derived_after_impact,EXCLUDE_POST_COLLISION,drop,event_consequence_or_participant_information,Official documentation defines this as an involved/struck-object count or other event-derived variable.,CAS_FEASIBILITY_V1
28,light,Light,esriFieldTypeString,True,True,"The light at the time and place of the crash. Possible values: 'Bright Sun', 'Overcast', 'Twilight, 'Dark' or ' Unknown'.",False,exists_or_observable_at_collision,INCLUDE_CANDIDATE,categorical,retrospective_recording,Road or environmental condition precedes the injury outcome.,CAS_FEASIBILITY_V1
29,meshblockId,Meshblock ID,esriFieldTypeInteger,True,True,The unique identifier of a meshblock.,False,location_attribute_before_collision,EXCLUDE_EXACT_GEOGRAPHY,drop,spatial_shortcut,Fine location identifiers encourage memorization and reduce transportability.,CAS_FEASIBILITY_V1
30,minorInjuryCount,Minor Injury Count,esriFieldTypeInteger,True,True,A count of the number of minor injuries (inj) associated with this crash.,False,outcome_after_collision,EXCLUDE_OUTCOME,drop,direct_target_leakage,Casualty counts directly determine or reveal crash severity.,CAS_FEASIBILITY_V1
31,moped,Moped,esriFieldTypeInteger,True,True,Derived variable to indicate how many mopeds were involved in the crash.,False,known_or_derived_after_impact,EXCLUDE_POST_COLLISION,drop,event_consequence_or_participant_information,Official documentation defines this as an involved/struck-object count or other event-derived variable.,CAS_FEASIBILITY_V1
32,motorcycle,Motorcycle,esriFieldTypeInteger,True,True,Derived variable to indicate how many motorcycles were involved in the crash.,False,known_or_derived_after_impact,EXCLUDE_POST_COLLISION,drop,event_consequence_or_participant_information,Official documentation defines this as an involved/struck-object count or other event-derived variable.,CAS_FEASIBILITY_V1
33,NumberOfLanes,Number Of Lanes,esriFieldTypeSmallInteger,True,True,The number(num) of lanes on the crash road.,False,exists_or_observable_at_collision,INCLUDE_CANDIDATE,categorical,retrospective_recording,Road or environmental condition precedes the injury outcome.,CAS_FEASIBILITY_V1
34,objectThrownOrDropped,Object Thrown Or Dropped,esriFieldTypeInteger,True,True,Derived variable to indicate how many times objects were thrown at or dropped on vehicles in the crash.,False,known_or_derived_after_impact,EXCLUDE_POST_COLLISION,drop,event_consequence_or_participant_information,Official documentation defines this as an involved/struck-object count or other event-derived variable.,CAS_FEASIBILITY_V1
35,otherObject,Other Object,esriFieldTypeInteger,True,True,"Derived variable to indicate how many times an object was struck in a crash and the object struck was not pre-defined. This variable includes stockpiled materials, rubbish bins, fallen poles, fallen trees, etc.",False,known_or_derived_after_impact,EXCLUDE_POST_COLLISION,drop,event_consequence_or_participant_information,Official documentation defines this as an involved/struck-object count or other event-derived variable.,CAS_FEASIBILITY_V1
36,otherVehicleType,Other Vehicle Type,esriFieldTypeInteger,True,True,Derived variable to indicate how many other vehicles (not included in any other category) were involved in the crash.,False,known_or_derived_after_impact,EXCLUDE_POST_COLLISION,drop,event_consequence_or_participant_information,Official documentation defines this as an involved/struck-object count or other event-derived variable.,CAS_FEASIBILITY_V1
37,overBank,Over Bank,esriFieldTypeInteger,True,True,Derived variable to indicate how many times an embankment was struck or driven over during a crash. This variable includes other vertical drops driven over during a crash.,False,known_or_derived_after_impact,EXCLUDE_POST_COLLISION,drop,event_consequence_or_participant_information,Official documentation defines this as an involved/struck-object count or other event-derived variable.,CAS_FEASIBILITY_V1
38,parkedVehicle,Parked Vehicle,esriFieldTypeInteger,True,True,Derived variable to indicate how many times a parked or unattended vehicle was struck in the crash. This variable can include trailers.,False,known_or_derived_after_impact,EXCLUDE_POST_COLLISION,drop,event_consequence_or_participant_information,Official documentation defines this as an involved/struck-object count or other event-derived variable.,CAS_FEASIBILITY_V1
39,pedestrian,Pedestrian,esriFieldTypeInteger,True,True,"Derived variable to indicate how many pedestrians were involved in the crash. This includes pedestrians on skateboards, scooters and wheelchairs.",False,known_or_derived_after_impact,EXCLUDE_POST_COLLISION,drop,event_consequence_or_participant_information,Official documentation defines this as an involved/struck-object count or other event-derived variable.,CAS_FEASIBILITY_V1
40,phoneBoxEtc,Phone Box Etc,esriFieldTypeInteger,True,True,"Derived variable to indicate how many times a telephone kiosk traffic signal controllers, bus shelters or other public furniture was struck in the crash",False,known_or_derived_after_impact,EXCLUDE_POST_COLLISION,drop,event_consequence_or_participant_information,Official documentation defines this as an involved/struck-object count or other event-derived variable.,CAS_FEASIBILITY_V1
41,postOrPole,Post Or Pole,esriFieldTypeInteger,True,True,"Derived variable to indicate how many times a post or pole was struck in the crash. This includes light, power, phone, utility poles and objects practically forming part of a pole (i.e. 'Transformer Guy' wires)",False,known_or_derived_after_impact,EXCLUDE_POST_COLLISION,drop,event_consequence_or_participant_information,Official documentation defines this as an involved/struck-object count or other event-derived variable.,CAS_FEASIBILITY_V1
42,region,Region,esriFieldTypeString,True,True,Identifies the local government (LG) region. The boundaries match territorial local authority (TLA) boundaries,False,location_attribute_before_collision,GROUP_ONLY,regional audit or sensitivity analysis only,geographic_reporting_proxy,"Useful for grouping, but as a feature it can encode regional practice.",CAS_FEASIBILITY_V1
43,roadCharacter,Road Character,esriFieldTypeString,True,True,"The general nature of the road. Possible values include 'Bridge', 'Motorway Ramp', ‘Rail crossing’ or 'Nil'.",True,exists_or_observable_at_collision,INCLUDE_CANDIDATE,categorical,retrospective_recording,Road or environmental condition precedes the injury outcome.,CAS_FEASIBILITY_V1
44,roadLane,Road Lane,esriFieldTypeString,True,True,"The lane configuration of the road. Possible values : '1' (one way), '2' (two way), 'M' (for where a median exists), 'O' (for off-road lane configuations), ' ' ( for unknown or invalid configuarations).",False,exists_or_observable_at_collision,INCLUDE_CANDIDATE,categorical,retrospective_recording,Road or environmental condition precedes the injury outcome.,CAS_FEASIBILITY_V1
45,roadSurface,Road Surface,esriFieldTypeString,True,True,The road surface description applying at the crash site. Possible values: 'Sealed' or 'Unsealed'.,False,exists_or_observable_at_collision,INCLUDE_CANDIDATE,categorical,retrospective_recording,Road or environmental condition precedes the injury outcome.,CAS_FEASIBILITY_V1
46,roadworks,Road works,esriFieldTypeInteger,True,True,"Derived variable to indicate how many times an object associated with 'roadworks' (including signs, cones, drums, barriers, but not roadwork vehicles) was struck during the crash",False,known_or_derived_after_impact,EXCLUDE_POST_COLLISION,drop,event_consequence_or_participant_information,Official documentation defines this as an involved/struck-object count or other event-derived variable.,CAS_FEASIBILITY_V1
47,schoolBus,School Bus,esriFieldTypeInteger,True,True,Derived variable to indicate how many school buses were involved in the crash.,False,known_or_derived_after_impact,EXCLUDE_POST_COLLISION,drop,event_consequence_or_participant_information,Official documentation defines this as an involved/struck-object count or other event-derived variable.,CAS_FEASIBILITY_V1
48,seriousInjuryCount,Serious Injury Count,esriFieldTypeInteger,True,True,A count of the number of serious injuries (inj) associated with this crash.,False,outcome_after_collision,EXCLUDE_OUTCOME,drop,direct_target_leakage,Casualty counts directly determine or reveal crash severity.,CAS_FEASIBILITY_V1
49,slipOrFlood,Slip Or Flood,esriFieldTypeInteger,True,True,"Derived variable to indicate how many times landslips, washouts or floods (excluding rivers) were objects struck in the crash",False,known_or_derived_after_impact,EXCLUDE_POST_COLLISION,drop,event_consequence_or_participant_information,Official documentation defines this as an involved/struck-object count or other event-derived variable.,CAS_FEASIBILITY_V1
50,speedLimit,Speed Limit,esriFieldTypeSmallInteger,True,True,"The speed (spd) limit (lim) in force at the crash site at the time of the crash. May be a number, or 'LSZ' for a limited speed zone.",False,exists_or_observable_at_collision,INCLUDE_CANDIDATE,numeric,retrospective_recording,Road or environmental condition precedes the injury outcome.,CAS_FEASIBILITY_V1
51,strayAnimal,Stray Animal,esriFieldTypeInteger,True,True,"Derived variable to indicate how many times a stray animal(s) was struck in the crash. This variable includes wild animals such as pigs, goats, deer, straying farm animals, house pets and birds.",False,known_or_derived_after_impact,EXCLUDE_POST_COLLISION,drop,event_consequence_or_participant_information,Official documentation defines this as an involved/struck-object count or other event-derived variable.,CAS_FEASIBILITY_V1
52,streetLight,Street Light,esriFieldTypeString,True,True,"The street lighting at the time of the crash. Possible values 'On', 'Off', 'None' or ' Unknown'.",False,exists_or_observable_at_collision,INCLUDE_CANDIDATE,categorical,retrospective_recording,Road or environmental condition precedes the injury outcome.,CAS_FEASIBILITY_V1
53,suv,SUV,esriFieldTypeInteger,True,True,Derived variable to indicate how many SUVs were involved in the crash.,False,known_or_derived_after_impact,EXCLUDE_POST_COLLISION,drop,event_consequence_or_participant_information,Official documentation defines this as an involved/struck-object count or other event-derived variable.,CAS_FEASIBILITY_V1
54,taxi,Taxi,esriFieldTypeInteger,True,True,Derived variable to indicate how many taxis were involved in the crash.,False,known_or_derived_after_impact,EXCLUDE_POST_COLLISION,drop,event_consequence_or_participant_information,Official documentation defines this as an involved/struck-object count or other event-derived variable.,CAS_FEASIBILITY_V1
55,temporarySpeedLimit,Temporary Speed Limit,esriFieldTypeSmallInteger,True,True,The temporary (temp) speed (spd) limit (lim) at the crash site if one exists (e.g. for road works).,False,exists_or_observable_at_collision,INCLUDE_CANDIDATE,numeric,retrospective_recording,Road or environmental condition precedes the injury outcome.,CAS_FEASIBILITY_V1
56,tlaId,TLA ID,esriFieldTypeInteger,True,True,The unique identifier for a territorial local authority (TLA). Each crash is assigned a TLA based on where the crash occurred.,False,location_attribute_before_collision,EXCLUDE_EXACT_GEOGRAPHY,drop,spatial_shortcut,Fine location identifiers encourage memorization and reduce transportability.,CAS_FEASIBILITY_V1
57,tlaName,TLA Name,esriFieldTypeString,True,True,The name of the territorial local authority (TLA) the crash has been attributed.,False,location_attribute_before_collision,EXCLUDE_EXACT_GEOGRAPHY,drop,spatial_shortcut,Fine location identifiers encourage memorization and reduce transportability.,CAS_FEASIBILITY_V1
58,trafficControl,Traffic Control,esriFieldTypeString,True,True,"The traffic control (ctrl) signals at the crash site. Possible values are 'Traffic Signals', 'Stop Sign', 'Give Way Sign', 'Pointsman', 'School Patrol', 'Nil' or ' N/A'.",False,exists_or_observable_at_collision,INCLUDE_CANDIDATE,categorical,retrospective_recording,Road or environmental condition precedes the injury outcome.,CAS_FEASIBILITY_V1
59,trafficIsland,Traffic Island,esriFieldTypeInteger,True,True,"Derived variable to indicate how many times a traffic island, medians (excluding barriers)was struck in the crash.",False,known_or_derived_after_impact,EXCLUDE_POST_COLLISION,drop,event_consequence_or_participant_information,Official documentation defines this as an involved/struck-object count or other event-derived variable.,CAS_FEASIBILITY_V1
60,trafficSign,Traffic Sign,esriFieldTypeInteger,True,True,"Derived variable to indicate how many times 'traffic signage' (including traffic signals, their poles, bollards or roadside delineators) was struck in the crash.",False,known_or_derived_after_impact,EXCLUDE_POST_COLLISION,drop,event_consequence_or_participant_information,Official documentation defines this as an involved/struck-object count or other event-derived variable.,CAS_FEASIBILITY_V1
61,train,Train,esriFieldTypeInteger,True,True,"Derived variable to indicate how many times a train, rolling stock or jiggers was struck in the crash, whether stationary or moving",False,known_or_derived_after_impact,EXCLUDE_POST_COLLISION,drop,event_consequence_or_participant_information,Official documentation defines this as an involved/struck-object count or other event-derived variable.,CAS_FEASIBILITY_V1
62,tree,Tree,esriFieldTypeInteger,True,True,Derived variable to indicate how many times trees or other growing items were struck during the crash.,False,known_or_derived_after_impact,EXCLUDE_POST_COLLISION,drop,event_consequence_or_participant_information,Official documentation defines this as an involved/struck-object count or other event-derived variable.,CAS_FEASIBILITY_V1
63,truck,Truck,esriFieldTypeInteger,True,True,Derived variable to indicate how many trucks were involved in the crash.,False,known_or_derived_after_impact,EXCLUDE_POST_COLLISION,drop,event_consequence_or_participant_information,Official documentation defines this as an involved/struck-object count or other event-derived variable.,CAS_FEASIBILITY_V1
64,unknownVehicleType,Unknown Vehicle Type,esriFieldTypeInteger,True,True,Derived variable to indicate how many vehicles were involved in the crash (where the vehicle type is unknown).,False,known_or_derived_after_impact,EXCLUDE_POST_COLLISION,drop,event_consequence_or_participant_information,Official documentation defines this as an involved/struck-object count or other event-derived variable.,CAS_FEASIBILITY_V1
65,urban,Urban,esriFieldTypeString,True,True,"A derived variable using the 'spd_lim' variable. Possible values are 'Urban' (urban, spd_lim < 80) or 'Open Road' (open road, spd_lim >=80 or 'LSZ').",False,exists_or_observable_at_collision,INCLUDE_CANDIDATE,categorical,retrospective_recording,Road or environmental condition precedes the injury outcome.,CAS_FEASIBILITY_V1
66,vanOrUtility,Van Or Utility,esriFieldTypeInteger,True,True,Derived variable to indicate how many vans or utes were involved in the crash.,False,known_or_derived_after_impact,EXCLUDE_POST_COLLISION,drop,event_consequence_or_participant_information,Official documentation defines this as an involved/struck-object count or other event-derived variable.,CAS_FEASIBILITY_V1
67,vehicle,Vehicle,esriFieldTypeInteger,True,True,"Derived variable to indicate how many times a stationary attended vehicle was struck in the crash. This includes broken down vehicles, workmen's vehicles, taxis, buses.",False,known_or_derived_after_impact,EXCLUDE_POST_COLLISION,drop,event_consequence_or_participant_information,Official documentation defines this as an involved/struck-object count or other event-derived variable.,CAS_FEASIBILITY_V1
68,waterRiver,Water River,esriFieldTypeInteger,True,True,"Derived variable to indicate how many times a body of water (including rivers, streams, lakes, the sea, tidal flates, canals, watercourses or swanps) was struck in the crash.",False,known_or_derived_after_impact,EXCLUDE_POST_COLLISION,drop,event_consequence_or_participant_information,Official documentation defines this as an involved/struck-object count or other event-derived variable.,CAS_FEASIBILITY_V1
69,weatherA,Weather A,esriFieldTypeString,True,True,"Indicates weather at the crash time/place. See wthr_b. Values that are possible are 'Fine', 'Mist', 'Light Rain', 'Heavy Rain', 'Snow', 'Unknown'.",False,exists_or_observable_at_collision,INCLUDE_CANDIDATE,categorical,retrospective_recording,Road or environmental condition precedes the injury outcome.,CAS_FEASIBILITY_V1
70,weatherB,Weather B,esriFieldTypeString,True,True,"The weather at the crash time/place. See weather_a. Values 'Frost', 'Strong Wind' or 'Unknown'.",False,exists_or_observable_at_collision,INCLUDE_CANDIDATE,categorical,retrospective_recording,Road or environmental condition precedes the injury outcome.,CAS_FEASIBILITY_V1
